BTC-Date,BTC-Open,BTC-High,BTC-Low,BTC-Close,BTC-Adj Close,BTC-Volume,ETH-Date,ETH-Open,ETH-High,ETH-Low,ETH-Close,ETH-Adj Close,ETH-Volume,DOGE-Date,DOGE-Open,DOGE-High,DOGE-Low,DOGE-Close,DOGE-Adj Close,DOGE-Volume,LTC-Date,LTC-Open,LTC-High,LTC-Low,LTC-Close,LTC-Adj Close,LTC-Volume
6/01/2014,1014.73999,1093.439941,964.73999,1012.650024,1012.650024,23622237,6/01/2014,0,0,0,0,0,0,6/01/2014,0,0,0,0,0,0,6/01/2014,26.01,31.26,22.23,28.700001,28.700001,12995
7/01/2014,1012.650024,1043.97998,879.849976,879.900024,879.900024,21753921,7/01/2014,0,0,0,0,0,0,7/01/2014,0,0,0,0,0,0,7/01/2014,28.700001,29.709999,23,23,23,9318
8/01/2014,879.900024,966.900024,858.900024,938.840027,938.840027,12942254,8/01/2014,0,0,0,0,0,0,8/01/2014,0,0,0,0,0,0,8/01/2014,23,26,22.190001,24.9,24.9,5690
9/01/2014,938.840027,964.640015,866.549988,936.950012,936.950012,13202619,9/01/2014,0,0,0,0,0,0,9/01/2014,0,0,0,0,0,0,9/01/2014,24.9,25.790001,24,24.5,24.5,393
10/01/2014,936.950012,964.840027,905.880005,957.76001,957.76001,5909107,10/01/2014,0,0,0,0,0,0,10/01/2014,0,0,0,0,0,0,10/01/2014,24.5,25.790001,24,24.059999,24.059999,885
11/01/2014,957.76001,1010.840027,935,1005.320007,1005.320007,10948175,11/01/2014,0,0,0,0,0,0,11/01/2014,0,0,0,0,0,0,11/01/2014,24.059999,27.620001,24.059999,26.35,26.35,2015
12/01/2014,1005.320007,1022.669983,922.070007,939.789978,939.789978,9620090,12/01/2014,0,0,0,0,0,0,12/01/2014,0,0,0,0,0,0,12/01/2014,26.35,26.450001,24,25.389999,25.389999,2208
13/01/2014,939.789978,949.23999,879.940002,922.909973,922.909973,9220891,13/01/2014,0,0,0,0,0,0,13/01/2014,0,0,0,0,0,0,13/01/2014,25.389999,26.309999,24,25.01,25.01,20878
14/01/2014,922.909973,942.469971,904.190002,919.280029,919.280029,3960633,14/01/2014,0,0,0,0,0,0,14/01/2014,0,0,0,0,0,0,14/01/2014,25.01,25.01,24,24.52,24.52,213
15/01/2014,919.280029,973.090027,915.059998,941.219971,941.219971,6448062,15/01/2014,0,0,0,0,0,0,15/01/2014,0,0,0,0,0,0,15/01/2014,24.52,25.469999,24.389999,24.52,24.52,471
